,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
192,193,Crit25,25,WhQ-One,WhQ,One,민규: 지훈이는 뭘 읽었어? 종현: ,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: ,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다.,민규,지훈이는 뭘 읽었어?,종현,소설을 읽었어.,소설 읽었어.,소설은 읽었어.,소설만 읽었어.,소설만 읽었어.,소설이랑 잡지를 둘 다 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설을 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설을 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설은 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설은 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,종현이는 지훈이가 소설과 잡지 중에 소설만 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,-10.719871954338473,-10.852765038446988,-9.704740246951651,-9.711765873388316,-9.782123733500383,-9.682001972005837,-9.897830640643788,-9.971618407020683,-9.897830640643788,-9.971618407020683,-10.756703510706847,-10.96495747046849
193,194,Crit25,25,WhQ-Both,WhQ,Both,민규: 지훈이는 뭘 읽었어? 종현: ,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: ,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다.,민규,지훈이는 뭘 읽었어?,종현,소설을 읽었어.,소설 읽었어.,소설은 읽었어.,소설이랑 잡지를 둘 다 읽었어.,소설만 읽었어.,소설이랑 잡지를 둘 다 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설을 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설을 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설은 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설은 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설만 읽었어.,민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,종현이는 지훈이가 소설과 잡지를 둘 다 읽었다고 답하려고 합니다. 민규: 지훈이는 뭘 읽었어? 종현: 소설이랑 잡지를 둘 다 읽었어.,-10.719871954338473,-11.193596872390227,-9.704740246951651,-10.071542828269582,-9.782123733500383,-9.818103377962114,-10.756703510706847,-10.82907019383228,-9.897830640643788,-10.293846430759595,-10.756703510706847,-10.82907019383228
200,201,Crit26,26,WhQ-One,WhQ,One,용재: 다혜는 뭘 적었어? 유미: ,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: ,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다.,용재,다혜는 뭘 적었어?,유미,이름을 적었어.,이름 적었어.,이름은 적었어.,이름만 적었어.,이름만 적었어.,이름이랑 주소를 둘 다 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름을 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름을 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름은 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름은 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,유미는 다혜가 이름과 주소 중에 이름만 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,-10.519928471701258,-10.39293788521273,-9.830789369467901,-9.599595252614089,-9.56221014036528,-9.648921259299241,-9.892315991200434,-10.059422829901106,-9.892315991200434,-10.059422829901106,-10.640601359683053,-11.351715366310026
201,202,Crit26,26,WhQ-Both,WhQ,Both,용재: 다혜는 뭘 적었어? 유미: ,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: ,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다.,용재,다혜는 뭘 적었어?,유미,이름을 적었어.,이름 적었어.,이름은 적었어.,이름이랑 주소를 둘 다 적었어.,이름만 적었어.,이름이랑 주소를 둘 다 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름을 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름을 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름은 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름은 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름만 적었어.,용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,유미는 다혜가 이름과 주소를 둘 다 적었다고 답하려고 합니다. 용재: 다혜는 뭘 적었어? 유미: 이름이랑 주소를 둘 다 적었어.,-10.519928471701258,-10.425273825551626,-9.830789369467901,-9.698767664219536,-9.56221014036528,-9.636376710069538,-10.640601359683053,-11.017541510584623,-9.892315991200434,-10.034902083893785,-10.640601359683053,-11.017541510584623
208,209,Crit27,27,WhQ-One,WhQ,One,소윤: 미영이는 뭘 입었어? 민정: ,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: ,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다.,소윤,미영이는 뭘 입었어?,민정,수영복을 입었어.,수영복 입었어.,수영복은 입었어.,수영복만 입었어.,수영복만 입었어.,수영복이랑 반바지를 둘 다 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복을 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복을 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복은 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복은 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,민정이는 미영이가 수영복과 반바지 중에 수영복만 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,-11.436743923322219,-11.922779794550902,-10.57651252965028,-11.065468484184535,-11.094593185902989,-11.47980026420083,-10.559930325636666,-11.115977584892548,-10.559930325636666,-11.115977584892548,-10.91990501285493,-11.413614475619287
209,210,Crit27,27,WhQ-Both,WhQ,Both,소윤: 미영이는 뭘 입었어? 민정: ,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: ,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다.,소윤,미영이는 뭘 입었어?,민정,수영복을 입었어.,수영복 입었어.,수영복은 입었어.,수영복이랑 반바지를 둘 다 입었어.,수영복만 입었어.,수영복이랑 반바지를 둘 다 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복을 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복을 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복은 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복은 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복만 입었어.,소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,민정이는 미영이가 수영복과 반바지를 둘 다 입었다고 답하려고 합니다. 소윤: 미영이는 뭘 입었어? 민정: 수영복이랑 반바지를 둘 다 입었어.,-11.436743923322219,-11.83353577647921,-10.57651252965028,-11.037426069282647,-11.094593185902989,-11.42486628094355,-10.91990501285493,-11.402971699435419,-10.559930325636666,-11.008645648212223,-10.91990501285493,-11.402971699435419
216,217,Crit28,28,WhQ-One,WhQ,One,수정: 승윤이는 뭘 날랐어? 재호: ,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: ,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다.,수정,승윤이는 뭘 날랐어?,재호,식재료를 날랐어.,식재료 날랐어.,식재료는 날랐어.,식재료만 날랐어.,식재료만 날랐어.,식재료랑 음식을 둘 다 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료를 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료를 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료는 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료는 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,재호는 승윤이가 식재료와 음식 중에 식재료만 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,-13.411553437114422,-14.081089665530664,-12.631190431228168,-13.45084170895288,-13.294968674662742,-14.072942619321635,-12.177329311039388,-12.844677106367811,-12.177329311039388,-12.844677106367811,-11.532265110000099,-12.158977676386492
217,218,Crit28,28,WhQ-Both,WhQ,Both,수정: 승윤이는 뭘 날랐어? 재호: ,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: ,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다.,수정,승윤이는 뭘 날랐어?,재호,식재료를 날랐어.,식재료 날랐어.,식재료는 날랐어.,식재료랑 음식을 둘 다 날랐어.,식재료만 날랐어.,식재료랑 음식을 둘 다 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료를 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료를 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료는 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료는 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료만 날랐어.,수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,재호는 승윤이가 식재료와 음식을 둘 다 날랐다고 답하려고 합니다. 수정: 승윤이는 뭘 날랐어? 재호: 식재료랑 음식을 둘 다 날랐어.,-13.411553437114422,-14.564439572548267,-12.631190431228168,-13.438227879840909,-13.294968674662742,-14.49677162735028,-11.532265110000099,-11.954692992927923,-12.177329311039388,-12.950985082172991,-11.532265110000099,-11.954692992927923
224,225,Crit29,29,WhQ-One,WhQ,One,이준: 도윤이는 뭘 썼어? 형수: ,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: ,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다.,이준,도윤이는 뭘 썼어?,형수,드라이버를 썼어.,드라이버 썼어.,드라이버는 썼어.,드라이버만 썼어.,드라이버만 썼어.,드라이버랑 드릴을 둘 다 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버를 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버를 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버는 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버는 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,형수는 도윤이가 드라이버와 드릴 중에 드라이버만 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,-11.501671806206083,-12.163038944682595,-10.934014518107901,-11.983352589016212,-11.045445903651684,-11.681038008860488,-10.791237151523834,-11.668669784293808,-10.791237151523834,-11.668669784293808,-10.00853902041576,-11.501776171509931
225,226,Crit29,29,WhQ-Both,WhQ,Both,이준: 도윤이는 뭘 썼어? 형수: ,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: ,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다.,이준,도윤이는 뭘 썼어?,형수,드라이버를 썼어.,드라이버 썼어.,드라이버는 썼어.,드라이버랑 드릴을 둘 다 썼어.,드라이버만 썼어.,드라이버랑 드릴을 둘 다 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버를 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버를 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버는 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버는 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버만 썼어.,이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,형수는 도윤이가 드라이버와 드릴을 둘 다 썼다고 답하려고 합니다. 이준: 도윤이는 뭘 썼어? 형수: 드라이버랑 드릴을 둘 다 썼어.,-11.501671806206083,-11.860411695084903,-10.934014518107901,-11.777349161285185,-11.045445903651684,-11.44550345423605,-10.00853902041576,-10.889117091388059,-10.791237151523834,-11.453778099621895,-10.00853902041576,-10.889117091388059
232,233,Crit30,30,WhQ-One,WhQ,One,혜령: 하솔이는 뭘 배웠어? 도완: ,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: ,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다.,혜령,하솔이는 뭘 배웠어?,도완,초상화를 배웠어.,초상화 배웠어.,초상화는 배웠어.,초상화만 배웠어.,초상화만 배웠어.,초상화랑 풍경화를 둘 다 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화를 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화를 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화는 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화는 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,도완이는 하솔이가 초상화와 풍경화 중에 초상화만 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,-12.711150551324712,-13.919002739089642,-10.808993648441827,-12.72656229220301,-12.516014332069883,-14.121522999985611,-10.729841671555143,-12.54405884279411,-10.729841671555143,-12.54405884279411,-11.146973890292491,-12.786609918572092
233,234,Crit30,30,WhQ-Both,WhQ,Both,혜령: 하솔이는 뭘 배웠어? 도완: ,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: ,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다.,혜령,하솔이는 뭘 배웠어?,도완,초상화를 배웠어.,초상화 배웠어.,초상화는 배웠어.,초상화랑 풍경화를 둘 다 배웠어.,초상화만 배웠어.,초상화랑 풍경화를 둘 다 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화를 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화를 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화는 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화는 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화만 배웠어.,혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,도완이는 하솔이가 초상화와 풍경화를 둘 다 배웠다고 답하려고 합니다. 혜령: 하솔이는 뭘 배웠어? 도완: 초상화랑 풍경화를 둘 다 배웠어.,-12.711150551324712,-13.994701357718842,-10.808993648441827,-12.459302759141423,-12.516014332069883,-14.309643428699454,-11.146973890292491,-12.678488389613428,-10.729841671555143,-12.41606926277075,-11.146973890292491,-12.678488389613428
240,241,Crit31,31,WhQ-One,WhQ,One,도경: 예지는 뭘 모았어? 재현: ,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: ,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다.,도경,예지는 뭘 모았어?,재현,페트병을 모았어.,페트병 모았어.,페트병은 모았어.,페트병만 모았어.,페트병만 모았어.,페트병이랑 유리병을 둘 다 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병을 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병을 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병은 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병은 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병만 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병만 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병만 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병만 모았어.,도경: 예지는 뭘 모았어? 재현: 페트병이랑 유리병을 둘 다 모았어.,재현이는 예지가 페트병과 유리병 중에 페트병만 모았다고 답하려고 합니다. 도경: 예지는 뭘 모았어? 재현: 페트병이랑 유리병을 둘 다 모았어.,-12.581069595463013,-13.56479214080747,-11.104125629475,-12.366297329486459,-11.891877365627638,-12.968051547086079,-11.247093264958165,-12.127569375362285,-11.247093264958165,-12.127569375362285,-11.933893111765151,-12.955553451280748
